MSI 지포스 GTX1060 아머 VR OC D5 6GB,9010,120,PCle3.0x16,243300,"지포스 GTX1060/16nm/1506 MHz,부스트 1708MHz/1152개/PCIe3.0x16/GDDR5(DDR5)/8000MHz/3GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 120W/정격파워 400W 이상/전원부: 4페이즈/2개 팬/252mm"
이엠텍 지포스 RTX 2080 BLACK EDITION OC D6 8GB,15447,250,PCle3.0x16,1033000,"지포스 RTX 2080/12nm/1515 MHz,부스트 1815MHz/2944개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 250W/정격파워 650W/전원부: 8+2페이즈/3개 팬/292mm/백플레이트/LED 라이트/RGB LIGHTING"
이엠텍 XENON 지포스 GTX1060 STORM X Dual D5 6GB,9010,120,PCle3.0x16,328500,"지포스 GTX1060/16nm/1506 MHz,부스트 1708MHz/1280개/PCIe3.0x16/GDDR5(DDR5)/8000MHz/6GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 120W/정격파워 400W 이상/전원부: 4페이즈/2개 팬/250mm"
MSI 지포스 GTX1060 아머 VR OC D5 6GB",9010,120,PCle3.0x16,328200,"지포스 GTX1060/16nm/1544 MHz,부스트 1759MHz/1280개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/6GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 120W/정격파워 400W 이상/전원부: 5페이즈/2개 팬/275mm"
이엠텍 지포스 RTX 2080 Ti BLACK EDITION OC D6 11GB,17450,300,PCle3.0x16,1588000,"지포스 RTX 2080 Ti/12nm/1350MHz,부스트 1650MHz/4352개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/11GB/352-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 300W/정격파워 700W/전원부: 13+3페이즈/3개 팬/292mm/백플레이트/LED 라이트/RGB LIGHTING"
리드텍 WinFast 지포스 GTX1060 HURRICANE OC D5 3GB,8931,120,PCle3.0x16,250000,"지포스 GTX1060/16nm/1531 MHz,부스트 1746MHz/1152개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/3GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 120W/정격파워 400W 이상/전원부: 5페이즈/2개 팬/233mm/백플레이트/LED 라이트"
PALIT 지포스 RTX 2070 Dual D6 8GB,13756,175,PCle3.0x16,686900,"지포스 RTX 2070/12nm/1410 MHz,부스트 1620MHz/2304개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/DVI/HDMI/DP/USB Type-C/최대 모니터 4개/최대 175W/정격파워 550W/2개 팬/292mm/백플레이트/LED 라이트/2018년 10월 30일 제품 디자인 및 LED(RGB→단색) 변경"
MSI 지포스 RTX 2070 아머 D6 8GB",13756,175,PCle3.0x16,709800,"지포스 RTX 2070/12nm/1410MHz,부스트 1620MHz/2304개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 175W/정격파워 550W 이상/2개 팬/309mm/백플레이트/LED 라이트/MYSTIC LIGHT"
MSI 지포스 GTX1060 아머 VR OC D5 3GB,8931,120,PCle3.0x16,239200,"지포스 GTX1060/16nm/1544 MHz,부스트 1759MHz/1152개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/3GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 120W/정격파워 400W 이상/전원부: 5페이즈/2개 팬/275mm"
이엠텍 지포스 RTX 2070 BLACK EDITION OC D6 8GB,13756,185,PCle3.0x16,722900,"지포스 RTX 2070/12nm/1410MHz,부스트 1725MHz/2304개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 185W/정격파워 500W 이상/전원부: 8+2페이즈/3개 팬/292mm/백플레이트/LED 라이트/RGB LIGHTING"
MSI 지포스 GTX1070 Ti 게이밍 D5 8GB 트윈프로져6",12158,180,PCle3.0x16,610500,"지포스 GTX1070 Ti/16nm/1607 MHz,부스트 1683MHz/2432개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/최대 180W/정격파워 500W 이상/전원부: 10페이즈/2개 팬/279mm/백플레이트/LED 라이트/MYSTIC LIGHT"
갤럭시 GALAX 지포스 RTX 2080 개간지 OC D6 8GB BLACK Edition,15447,225,PCle3.0x16,1030400,지포스 RTX 2080/12nm/부스트 1800MHz/2944개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 225W/정격파워 650W 이상/전원부: 10페이즈/3개 팬/308mm/백플레이트/LED 라이트
ZOTAC GAMING AMP 지포스 RTX 2080 Ti D6 11GB,17450,260,PCle3.0x16,1677500,지포스 RTX 2080 Ti/12nm/1665MHz/4352개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/11GB/352-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 260W/정격파워 650W/3개 팬/308mm/LED 라이트/SPECTRA
MSI 지포스 RTX 2070 게이밍 Z D6 8GB 트윈프로져7",13756,225,PCle3.0x16,779000,"지포스 RTX 2070/12nm/1410 MHz,부스트 1830MHz/2304개/PCIe3.0x16/GDDR6(DDR6)/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 225/정격파워 550W/전원부: 8페이즈/2개 팬/307mm/백플레이트/LED 라이트/MYSTIC LIGHT"
이엠텍 XENON 지포스 GTX1050 STORM X Nano D5 2GB,4611,75,PCle3.0x16,138900,"지포스 GTX1050/14nm/1354 MHz,부스트 1455MHz/640개/PCIe3.0x16/GDDR5(DDR5)/7000MHz/2GB/128-bit/DVI/HDMI/DP/최대 모니터 3개/최대 75W/정격파워 300W 이상/전원부: 3페이즈/1개 팬/166mm/2018년 4월 5일 출고분부터 GPU 코어 클럭 1354MHz로 변경"
GIGABYTE 지포스 GTX1060 UDV D5 6GB 윈드포스,9010,120,PCle3.0x16,319300,"지포스 GTX1060/16nm/1556 MHz,부스트 1771MHz/1280개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/6GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/정격파워 400W 이상/전원부: 5페이즈/2개 팬/223mm"
MSI 지포스 RTX 2080 게이밍 X 트리오 D6 8GB 트라이프로져,15547,260,PCle3.0x16,1132300,"지포스 RTX 2080/12nm/1515 MHz,부스트 1860MHz/2944개/PCIe3.0x16/GDDR6(DDR6)/7000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 260W/정격파워 650W/전원부: 12페이즈/3개 팬/327mm/백플레이트/LED 라이트/MYSTIC LIGHT"
GIGABYTE AORUS Xtreme 지포스 RTX 2080 D6 8GB,15447,260,PCle3.0x16,1218600,지포스 RTX 2080/12nm/부스트 1890MHz/2944개/PCIe3.0x16/GDDR6(DDR6)/14140MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/정격파워 650W/전원부: 12+2페이즈/3개 팬/290mm/백플레이트/LED 라이트/RGB FUSION
GIGABYTE 지포스 RTX 2080 Ti Gaming D6 11GB,17450,300,PCle3.0x16,1659700,"지포스 RTX 2080 Ti/12nm/1650 MHz,부스트 1665MHz/4352개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/11GB/352-bit/HDMI/DP/USB Type-C/최대 모니터 4개/정격파워 650W/전원부: 13+3페이즈/3개 팬/287mm/백플레이트/LED 라이트/RGB FUSION"
이엠텍 XENON 지포스 GTX1070 Ti STORM X Dual D5 8GB,12158,180,PCle3.0x16,567600,"지포스 GTX1070 Ti/1607 MHz,부스트 1683MHz/2432개/PCIe3.0x16/GDDR5(DDR5)/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/최대 180W/정격파워 500W 이상/2개 팬/250mm"
이엠텍 HV 지포스 GTX1060 WHITE MONSTER OC D5 3GB,8931,120,PCle3.0x16,261700,"지포스 GTX1060/16nm/1594 MHz, 부스트 1809MHz/1152개/PCIe3.0x16/GDDR5(DDR5)/8000MHz/3GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 120W/정격파워 400W 이상/전원부: 4페이즈/2개 팬/248mm/백플레이트/LED 라이트"
MSI 지포스 GTX1070 아머 OC D5 8GB,11209,150,PCle3.0x16,493400,"지포스 GTX1070/16nm/1556 MHz,부스트 1746MHz/1920개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/최대 150W/정격파워 500W 이상/전원부: 8페이즈/2개 팬/279mm"
갤럭시 GALAX 지포스 GTX1080 Ti DURAPRO EXOC D5X 11GB,14097,250,PCle3.0x16,1065000,"지포스 GTX1080 Ti/16nm/1531 MHz,부스트 1645MHz/3584개/PCIe3.0x16/GDDR5X(DDR5X)/11010MHz/11GB/352-bit/HDMI/DP/최대 모니터 4개/최대 250W/정격파워 600W 이상/전원부: 7+2페이즈/2개 팬/278mm/백플레이트/LED 라이트"
MSI 지포스 GTX1050 OC D5 2GB 스톰,4611,75,PCle3.0x16,130800,"지포스 GTX1050/14nm/1404 MHz,부스트 1518MHz/640개/PCIe3.0x16/GDDR5(DDR5)/7008MHz/2GB/128-bit/DVI/HDMI/DP/최대 모니터 3개/최대 75W/정격파워 300W 이상/1개 팬/177mm"
MSI 라데온 RX 580 아머 OC D5 8GB,6494,185,PCle3.0x16,267800,라데온 RX 580/14nm/1366MHz/2304개/PCIe3.0x16/GDDR5(DDR5)/8000MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 5개/최대 185W/정격파워 500W 이상/2개 팬/269mm
MSI 지포스 GTX1060 게이밍 X D5 6GB 트윈프로져6,9010,120,PCle3.0x16,355200,"지포스 GTX1060/16nm/1594 MHz,부스트 1809MHz/1280개/PCIe3.0x16/GDDR5(DDR5)/8108MHz/6GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 120W/정격파워 400W 이상/전원부: 6페이즈/2개 팬/277mm/백플레이트/LED 라이트/MYSTIC LIGHT"
MSI 지포스 GTX1050 Ti OC D5 4GB 윈드스톰,5950,75,PCle3.0x16,178700,"지포스 GTX1050 Ti/14nm/1341 MHz,부스트 1455MHz/768개/PCIe3.0x16/GDDR5(DDR5)/7008MHz/4GB/128-bit/DVI/HDMI/DP/최대 모니터 3개/최대 75W/정격파워 300W 이상/2개 팬/215mm"
이엠텍 XENON 지포스 RTX 2070 TURBO JET OC D6 8GB,13756,220,PCle3.0x16,785000,"지포스 RTX 2070/12nm/1410MHz,부스트 1725MHz/2304개/PCIe3.0x16/14000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 3개/최대 220W/정격파워 550W 이상/2개 팬/292mm"
MSI 지포스 RTX 2080 Ti 게이밍 X 트리오 D6 11GB 트라이프로져,17450,300,PCle3.0x16,2499990,"지포스 RTX 2080 Ti/12nm/1350 MHz,부스트 1755MHz/4352개/PCIe3.0x16/GDDR6(DDR6)/7000MHz/11GB/352-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 300W/정격파워 650W/전원부: 17페이즈/3개 팬/327mm/백플레이트/LED 라이트/MYSTIC LIGHT"
MSI 지포스 GTX1070 Ti 아머 D5 8GB,12158,180,PCle3.0x16,561400,"지포스 GTX1070 Ti/1607 MHz,부스트 1683MHz/2432개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/최대 180W/정격파워 500W 이상/2개 팬/279mm"
갤럭시 GALAX 지포스 GTX1070 Ti 개간지 EXOC D5 8GB,12158,180,PCle3.0x16,614100,"지포스 GTX1070 Ti/16nm/1607 MHz,부스트 1683MHz/2432개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/최대 180W/정격파워 500W 이상/전원부: 7페이즈/2개 팬/296mm/백플레이트/LED 라이트"
ZOTAC GAMING 지포스 RTX 2070 D6 8GB BLOWER,13756,175,PCle3.0x16,660760,지포스 RTX 2070/12nm/부스트 1620MHz/2304개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/최대 175W/정격파워 550W 이상/1개 팬/268mm
갤럭시 GALAX 지포스 GTX1060 OC D5 6GB,9010,120,PCle3.0x16,316300,"지포스 GTX1060/16nm/1518 MHz,부스트 1733MHz/1280개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/6GB/192-bit/DVI/HDMI/DP/최대 모니터 3개/최대 120W/정격파워 400W 이상/전원부: 4페이즈/2개 팬/214mm"
ZOTAC AMP 지포스 GTX1070 Ti AIR D5 8GB,12158,180,PCle3.0x16,559000,"지포스 GTX1070 Ti/1607 MHz,부스트 1683MHz/2432개/PCIe3.0x16/GDDR5(DDR5)/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/최대 180W/정격파워 500W 이상/전원부: 7페이즈/2개 팬/211mm/백플레이트/LED 라이트/SPECTRA"
ZOTAC AMP 지포스 GTX1060 D5 6GB 백플레이트,9010,120,PCle3.0x16,322200,"지포스 GTX1060/16nm/1556 MHz,부스트 1771MHz/1280개/PCIe3.0x16/GDDR5(DDR5)/8000MHz/6GB/192-bit/DVI/HDMI/DP/최대 120W/정격파워 400W 이상/전원부: 5페이즈/2개 팬/210mm"
ZOTAC AMP 지포스 GTX1060 D5 3GB,8931,120,PCle3.0x16,236100,"지포스 GTX1060/16nm/1582 MHz,부스트 1797MHz/1152개/PCIe3.0x16/GDDR5(DDR5)/8000MHz/3GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 120W/정격파워 400W 이상/전원부: 5페이즈/2개 팬/206mm"
갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB,4611,75,PCle3.0x16,166600,"지포스 GTX1050 Ti/14nm/1303 MHz,부스트 1417MHz/768개/PCIe3.0x16/GDDR5(DDR5)/7008MHz/4GB/128-bit/DVI/HDMI/DP/최대 모니터 3개/최대 75W/정격파워 300W 이상/전원부: 3페이즈/1개 팬/196mm"
MSI 지포스 GTX1060 OC D5 3GB 윈드스톰",8931,120,PCle3.0x16,234300,"지포스 GTX1060/16nm/1544 MHz, 부스트 1759MHz/1152개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/3GB/192-bit/DVI/HDMI/DP/최대 모니터 3개/최대 120W/정격파워 400W 이상/2개 팬/243mm"
GIGABYTE 라데온 RX 570 Gaming D5 8GB (벌크),6740,180,PCle3.0x16,164000,"라데온 RX 570/14nm/1244 MHz,부스트 1255MHz/2048개/PCIe3.0x16/GDDR5(DDR5)/7000MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 5개/정격파워 450W 이상/전원부: 7페이즈/2개 팬/232mm"
GIGABYTE 지포스 GTX1070 Ti UDV D5 8GB 윈드포스,12158,180,PCle3.0x16,585100,"지포스 GTX1070 Ti/1607 MHz,부스트 1683MHz/2432개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/정격파워 500W 이상/전원부: 8페이즈/2개 팬/280mm"
GIGABYTE 지포스 GTX1080 UDV D5X 8GB 윈드포스,12326,180,PCle3.0x16,831900,"지포스 GTX1080/16nm/1632 MHz,부스트 1771MHz/2560개/PCIe3.0x16/GDDR5X(DDR5X)/10010MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/정격파워 500W 이상/전원부: 10페이즈/3개 팬/280mm"
이엠텍 XENON 지포스 GTX1050 Ti STORM X Nano D5 4GB,5950,75,PCle3.0x16,174400,"지포스 GTX1050 Ti/14nm/1290 MHz,부스트 1392MHz/768개/PCIe3.0x16/GDDR5(DDR5)/7000MHz/4GB/128-bit/DVI/HDMI/DP/최대 모니터 3개/최대 75W/정격파워 300W 이상/전원부: 3페이즈/1개 팬/166mm"
갤럭시 GALAX 지포스 GTX1060 OC D5 3GB,8931,120,PCle3.0x16,241300,"지포스 GTX1060/16nm/1518 MHz,부스트 1733MHz/1152개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/3GB/192-bit/DVI/HDMI/DP/최대 모니터 3개/최대 120W/정격파워 400W 이상/전원부: 4페이즈/2개 팬/214mm"
갤럭시 GALAX 지포스 RTX 2070 개간지 OC D6 8GB BLACK Edition",13756,215,PCle3.0x16,745900,지포스 RTX 2070/12nm/부스트 1830MHz/2304개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 215W/정격파워 550W 이상/전원부: 8페이즈/3개 팬/308mm/백플레이트/LED 라이트
이엠텍 XENON 지포스 RTX 2080 TURBO JET OC D6 8GB,15447,300,PCle3.0x16,1105900,"지포스 RTX 2080/12nm/1515MHz,부스트 1815MHz/2944개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 300W/정격파워 700W 이상/전원부: 10+2페이즈/2개 팬/292mm/백플레이트/LED 라이트"
갤럭시 GALAX 지포스 RTX 2070 BLACK LABEL OC D6 8GB,13756,215,PCle3.0x16,752000,"지포스 RTX 2070/12nm/1410 MHz,부스트 1815MHz/2304개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 215W/정격파워 550W 이상/전원부: 8페이즈/2개 팬/263mm/백플레이트/LED 라이트"
갤럭시 GALAX 지포스 RTX 2070 BLACK LABEL EX D6 8GB",13756,175,PCle3.0x16,720700,"지포스 RTX 2070/12nm/1515MHz,부스트 1620MHz/2304개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 175W/정격파워 550W 이상/전원부: 8페이즈/2개 팬/285mm/백플레이트/LED 라이트"
GIGABYTE 지포스 GTX1080 Ti AORUS D5X 11GB",14097,300,PCle3.0x16,1156900,"지포스 GTX1080 Ti/16nm/1569 MHz,부스트 1683MHz/3584개/PCIe3.0x16/GDDR5X(DDR5X)/11010MHz/11GB/352-bit/DVI/HDMI/DP/최대 모니터 4개/정격파워 600W 이상/전원부: 14페이즈/3개 팬/293mm/백플레이트/LED 라이트/RGB FUSION"
GIGABYTE 라데온 RX 580 AORUS D5 8GB",8433,150,PCle3.0x16,322700,"라데온 RX 580/14nm/1365 MHz,부스트 1380MHz/2304개/PCIe3.0x16/GDDR5(DDR5)/8000MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 5개/정격파워 500W 이상/전원부: 8페이즈/232mm/백플레이트/LED 라이트/RGB FUSION"
갤럭시 GALAX 지포스 RTX 2070 WHITE LABEL OC D6 8GB,13771,215,PCle3.0x16,751200,"지포스 RTX 2070/12nm/1410 MHz,부스트 1830MHz/2304개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 215W/정격파워 550W 이상/전원부: 8페이즈/2개 팬/268mm/백플레이트/LED 라이트"
ZOTAC GAMING AMP EXTREME 지포스 RTX 2070 D6 8GB,13771,225,PCle3.0x16,839500,지포스 RTX 2070/12nm/부스트 1860MHz/2304개/PCIe3.0x16/GDDR6(DDR6)/14400MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 225W/정격파워 550W/3개 팬/308mm/백플레이트/LED 라이트/SPECTRA
갤럭시 GALAX 지포스 GTX1080 Ti EXOC D5X 11GB G天命,14102,250,PCle3.0x16,1153910,"지포스 GTX1080 Ti/16nm/1531 MHz,부스트 1645MHz/3584개/PCIe3.0x16/GDDR5X(DDR5X)/11010MHz/11GB/352-bit/HDMI/DP/최대 모니터 4개/최대 250W/정격파워 600W 이상/전원부: 9페이즈/2개 팬/281mm/백플레이트"
GIGABYTE 지포스 RTX 2080 Gaming D6 8GB,15496,300,PCle3.0x16,1043500,"지포스 RTX 2080/12nm/1815 MHz,부스트 1830MHz/2944개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/정격파워 650W/전원부: 8+2페이즈/3개 팬/286.5mm/백플레이트/LED 라이트/RGB FUSION"
이엠텍 HV 지포스 GTX1070 Ti BLACK MONSTER D5 8GB,12164,180,PCle3.0x16,584900,"지포스 GTX1070 Ti/16nm/1607 MHz, 부스트 1683MHz/2432개/GDDR5(DDR5)/8008MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/최대 180W/정격파워 500W 이상/전원부: 6페이즈/2개 팬/250mm"
갤럭시 GALAX 지포스 RTX 2080 Ti WHITE LABEL OC D6 11GB,17360,260,PCle3.0x16,1518000,"지포스 RTX 2080 Ti/12nm/1350 MHz,부스트 1635MHz/4352개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/11GB/352-bit/HDMI/DP/USB Type-C/최대 260W/정격파워 650W 이상/전원부: 13+3페이즈/2개 팬/268mm/백플레이트/LED 라이트"
