MSI 지포스 GTX1060 아머 VR OC D5 6GB,9010,120,PCle3.0x16,243300,"지포스 GTX1060/16nm/1506 MHz,부스트 1708MHz/1152개/PCIe3.0x16/GDDR5(DDR5)/8000MHz/3GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 120W/정격파워 400W 이상/전원부: 4페이즈/2개 팬/252mm"
갤럭시 GALAX 지포스 GTX1060 EXOC D5 6GB G天命,9011,120,PCle3.0x16,335200,"지포스 GTX1060/16nm/1556 MHz,부스트 1771MHz/1280개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/6GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 120W/정격파워 400W 이상/전원부: 5페이즈/2개 팬/268mm"
GIGABYTE 지포스 GTX1080 G1.Gaming D5X 8GB,12328,180,PCle3.0x16,902390,"지포스 GTX1080/16nm/1695 MHz,부스트 1835MHz/2560개/PCIe3.0x16/GDDR5X(DDR5X)/10010MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/정격파워 500W 이상/전원부: 10페이즈/3개 팬/286mm/LED 라이트/RGB FUSION"
MSI 지포스 GTX1080 Ti 게이밍 D5X 11GB 트윈프로져6,14102,250,PCle3.0x16,1262000,"지포스 GTX1080 Ti/16nm/1506 MHz,부스트 1620MHz/3584개/PCIe3.0x16/GDDR5X(DDR5X)/11124MHz/11GB/352-bit/DVI/HDMI/DP/최대 모니터 4개/최대 250W/정격파워 600W 이상/전원부: 8페이즈/2개 팬/290mm/백플레이트/LED 라이트/MYSTIC LIGHT"
ZOTAC 지포스 GTX1060 MINi D5 3GB,8931,120,PCle3.0x16,242400,"지포스 GTX1060/16nm/1506 MHz,부스트 1708MHz/1152개/PCIe3.0x16/GDDR5(DDR5)/8000MHz/3GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 120W/정격파워 400W 이상/전원부: 5페이즈/1개 팬/174mm"
GIGABYTE 지포스 GTX1050 UDV D5 2GB 윈드포스,4612,75,PCle3.0x16,168600,"지포스 GTX1050/14nm/1392 MHz,부스트 1506MHz/640개/PCIe3.0x16/GDDR5(DDR5)/7008MHz/2GB/128-bit/DVI/HDMI/DP/최대 모니터 4개/정격파워 300W 이상/전원부: 5페이즈/2개 팬/229mm"
이엠텍 XENON 지포스 GTX1070 Super JETSTREAM D5 8GB,11209,170,PCle3.0x16,601000,"지포스 GTX1070/16nm/1632 MHz,부스트 1835MHz/1920개/PCIe3.0x16/GDDR5(DDR5)/8000MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/최대170W/정격파워 500W 이상/전원부: 9페이즈/2개 팬/285mm/백플레이트/LED 라이트/RGB LIGHTING"
ZOTAC GAMING 지포스 RTX 2080 Ti D6 11GB TRIPLE,17360,250,PCle3.0x16,1880000,지포스 RTX 2080 Ti/12nm/1605MHz/4352개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/11GB/352-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 250W/정격파워 650W/3개 팬/308mm/LED 라이트/SPECTRA
갤럭시 BOY 지포스 GTX1070 V3 OC D5 8GB,11209,150,PCle3.0x16,504800,"지포스 GTX1070/16nm/1518 MHz, 부스트 1708MHz/1920개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/최대 150W/정격파워 500W 이상/전원부: 5+2페이즈/2개 팬/296mm/백플레이트/LED 라이트"
갤럭시 GALAX 지포스 GTX1050 Ti 개간지 EXOC D5 4GB,5950,75,PCle3.0x16,195900,"지포스 GTX1050 Ti/14nm/1354 MHz,부스트 1468MHz/768개/GDDR5(DDR5)/7008MHz/4GB/128-bit/DVI/HDMI/DP/최대 모니터 4개/최대 75W/정격파워 300W 이상/전원부: 4페이즈/2개 팬/230mm/LED 라이트"
GIGABYTE 지포스 GTX1050 UD2 WF-2X D5 3GB,4612,75,PCle3.0x16,168000,"지포스 GTX1050/14nm/1417 MHz, 부스트 1556MHz/768개/PCIe3.0x16/GDDR5(DDR5)/7008MHz/3GB/96-bit/DVI/HDMI/DP/최대 모니터 3개/정격파워 300W 이상/전원부: 4페이즈/2개 팬/191mm"
ZOTAC GAMING AMP EXTREME CORE 지포스 RTX 2070 D6 8GB,13771,225,PCle3.0x16,803800,지포스 RTX 2070/12nm/부스트 1815MHz/2304개/PCIe3.0x16/GDDR6(DDR6)/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 225W/정격파워 550W/3개 팬/308mm/백플레이트/LED 라이트/SPECTRA
GIGABYTE 지포스 GTX1050 UD2 WF-2X D5 2GB,4612,75,PCle3.0x16,149900,"지포스 GTX1050/14nm/1379 MHz,부스트 1493MHz/640개/PCIe3.0x16/GDDR5(DDR5)/7008MHz/2GB/128-bit/DVI/HDMI/DP/최대 모니터 3개/정격파워 300W 이상/전원부: 4페이즈/2개 팬/191mm"
갤럭시 BOY 지포스 RTX 2070 EXOC D6 8GB,13771,215,PCle3.0x16,741600,"지포스 RTX 2070/12nm/1515MHz,부스트 1815MHz/2304개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 215W/정격파워 550W 이상/전원부: 8페이즈/2개 팬/285mm/백플레이트/LED 라이트"
갤럭시 GALAX 지포스 RTX 2080 BLACK LABEL OC D6 8GB,15496,225,PCle3.0x16,1012800,"지포스 RTX 2080/12nm/1515MHz,부스트 1785MHz/2944개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 225W/정격파워 650W 이상/전원부: 10페이즈/2개 팬/268mm/백플레이트/LED 라이트"
GIGABYTE 지포스 GTX1050 UD2 D5 2GB Nano LP,4612,75,PCle3.0x16,151300,"지포스 GTX1050/14nm/1366 MHz,1468MHz/640개/PCIe3.0x16/GDDR5(DDR5)/7008MHz/2GB/128-bit/DVI/HDMI/DP/최대 모니터 4개/정격파워 300W 이상/전원부: 4페이즈/1개 팬/167mm"
갤럭시 GALAX 지포스 GTX1050 Ti EXOC D5 4GB G天命,5950,75,PCle3.0x16,191700,"지포스 GTX1050 Ti/14nm/1354 MHz,부스트 1468MHz/768개/PCIe3.0x16/GDDR5(DDR5)/7008MHz/4GB/128-bit/DVI/HDMI/DP/최대 모니터 4개/최대 75W/정격파워 300W 이상/전원부: 4페이즈/2개 팬/245mm"
GIGABYTE 지포스 GTX1070 UDV D5 8GB 미니미,11209,170,PCle3.0x16,483700,"지포스 GTX1070/16nm/1531 MHz,부스트 1721MHz/1920개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/정격파워 500W 이상/전원부: 6페이즈/1개 팬/170mm"
MSI 라데온 RX 560 에어로 ITX OC D5 2GB,4398,80,PCle3.0x16,147400,라데온 RX 560/14nm/1196MHz/1024개/PCIe3.0x16/GDDR5(DDR5)/7000MHz/2GB/128-bit/DVI/HDMI/DP/최대 모니터 3개/정격파워 400W 이상/1개 팬/155mm
갤럭시 GALAX 지포스 GTX1050 Ti OC D5 4GB LP,5950,75,PCle3.0x16,192500,"지포스 GTX1050 Ti/14nm/1303 MHz,부스트 1417MHz/768개/PCIe3.0x16/GDDR5(DDR5)/7008MHz/4GB/128-bit/DVI/HDMI/DP/최대 75W/정격파워 300W 이상/전원부: 3페이즈/2개 팬/166mm"
GIGABYTE 지포스 GTX1050 Ti UD2 WF-2X D5 4GB,5950,75,PCle3.0x16,208900,"지포스 GTX1050 Ti/14nm/1316 MHz,부스트 1430MHz/768개/PCIe3.0x16/GDDR5(DDR5)/7008MHz/4GB/128-bit/DVI/HDMI/DP/최대 모니터 3개/정격파워 300W 이상/전원부: 4페이즈/2개 팬/191mm"
GIGABYTE 지포스 GTX1080 Ti AORUS Xtreme D5X 11GB,14102,270,PCle3.0x16,1744110,"지포스 GTX1080 Ti/16nm/1607 MHz,부스트 1721MHz/3584개/PCIe3.0x16/GDDR5X(DDR5X)/11232MHz/11GB/352-bit/DVI/HDMI/DP/최대 모니터 4개/정격파워 600W 이상/전원부: 14페이즈/3개 팬/293mm/백플레이트/LED 라이트/RGB FUSION"
갤럭시 BOY 지포스 GTX1060 OC D5 3GB,8931,120,PCle3.0x16,238600,"지포스 GTX1060/16nm/1518 MHz,부스트 1733MHz/1152개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/3GB/192-bit/DVI/HDMI/DP/최대 모니터 3개/최대 120W/정격파워 400W 이상/전원부: 5페이즈/2개 팬/245mm"
갤럭시 GALAX 지포스 GTX1070 Ti GAMER OC D5 8GB,12164,170,PCle3.0x16,601800,"지포스 GTX1070 Ti/16nm/1607 MHz,부스트 1683MHz/2432개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/최대 180W/정격파워 500W 이상/전원부: 5+2페이즈/2개 팬/270mm/백플레이트"
MSI 지포스 GTX1060 게이밍 X D5 3GB 트윈프로져6,8931,120,PCle3.0x16,329000,"지포스 GTX1060/16nm/1594 MHz,부스트 1809MHz/1152개/PCIe3.0x16/GDDR5(DDR5)/8108MHz/3GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 120W/정격파워 400W 이상/전원부: 6페이즈/2개 팬/277mm/백플레이트/LED 라이트/MYSTIC LIGHT"
GIGABYTE 라데온 RX 570 Gaming D5 4GB,6740,150,PCle3.0x16,274500,"라데온 RX 570/14nm/1244 MHz,부스트 1255MHz/2048개/PCIe3.0x16/GDDR5(DDR5)/7000MHz/4GB/256-bit/DVI/HDMI/DP/최대 모니터 5개/정격파워 500W 이상/전원부: 7페이즈/2개 팬/232mm/백플레이트/LED 라이트/RGB FUSION"
갤럭시 GALAX 지포스 GTX1070 EX D5 8GB,11209,150,PCle3.0x16,507300,"지포스 GTX1070/16nm/1518 MHz,부스트 1708MHz/1920개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/최대 150W/정격파워 500W 이상/전원부: 7페이즈/2개 팬/287mm/백플레이트/2018년 8월 28일부터 쿨러 변경, LED 미장착"
ZOTAC GAMING 지포스 RTX 2080 D6 8GB BLOWER,15496,215,PCle3.0x16,1052000,지포스 RTX 2080/12nm/부스트 1710MHz/2944개/PCIe3.0x16/GDDR6(DDR6)/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 215W/정격파워 650W/268mm
이엠텍 HV 지포스 GTX1050 Ti MINI MONSTER D5 4GB,5950,75,PCle3.0x16,176800,"지포스 GTX1050 Ti/14nm/1290 MHz, 부스트 1392MHz/768개/GDDR5(DDR5)/7000MHz/4GB/128-bit/DVI/HDMI/DP/최대 모니터 3개/최대 75W/정격파워 300W 이상/전원부: 3페이즈/1개 팬/166mm"
갤럭시 BOY 지포스 RTX 2070 SG Edition D6 8GB,13771,215,PCle3.0x16,774900,"지포스 RTX 2070/12nm/1620MHz,부스트 1830MHz/2304개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 215W/정격파워 550W 이상/전원부: 8페이즈/3개 팬/308mm/백플레이트/LED 라이트"
갤럭시 GALAX 지포스 GTX1050 EXOC D5 2GB G天命,4612,75,PCle3.0x16,151500,"지포스 GTX1050/14nm/1417 MHz,부스트 1531MHz/640개/PCIe3.0x16/GDDR5(DDR5)/7008MHz/2GB/128-bit/DVI/HDMI/DP/최대 모니터 4개/최대 75W/정격파워 300W 이상/전원부: 4페이즈/2개 팬/245mm"
GIGABYTE 라데온 RX Vega 56 Gaming HBM2 8GB,11416,210,PCle3.0x16,634000,"라데온 RX Vega 56/14nm/1156 MHz,부스트 1471MHz/4096개/PCIe3.0x16/HBM(2세대)/8GB/2048-bit/HDMI/DP/최대 모니터 5개/정격파워 650W 이상/2개 팬/274mm/백플레이트"
갤럭시 BOY 지포스 RTX 2080 SG Edition D6 8GB,15496,225,PCle3.0x16,1076400,지포스 RTX 2080/12nm/부스트 1800MHz/2944개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/최대 225W/정격파워 650W 이상/전원부: 10페이즈/3개 팬/308mm/백플레이트/LED 라이트
갤럭시 GALAX 지포스 RTX 2080 Ti BLACK LABEL OC D6 11GB,17390,260,PCle3.0x16,1597000,"지포스 RTX 2080 Ti/12nm/1350 MHz,부스트 1620MHz/4352개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/11GB/352-bit/HDMI/DP/USB Type-C/최대 260W/정격파워 650W/전원부: 13+3페이즈/2개 팬/268mm/백플레이트/LED 라이트"
ZOTAC AMP 지포스 GTX1080 Ti D5X 11GB,14102,270,PCle3.0x16,1339200,"지포스 GTX1080 Ti/16nm/1569 MHz,부스트 1683MHz/3584개/PCIe3.0x16/GDDR5X(DDR5X)/11010MHz/11GB/352-bit/DVI/HDMI/DP/최대 모니터 4개/최대 270W/정격파워 600W 이상/전원부: 18페이즈/2개 팬/300mm/백플레이트"
GIGABYTE 지포스 GTX1080 Ti AORUS Xtreme D5X 11GB 워터포스,14102,270,PCle3.0x16,2356520,"지포스 GTX1080 Ti/16nm/1607 MHz,부스트 1721MHz/3584개/PCIe3.0x16/GDDR5X(DDR5X)/11232MHz/11GB/352-bit/DVI/HDMI/DP/최대 모니터 4개/정격파워 600W 이상/전원부: 14페이즈/1개 팬/267mm/백플레이트/수냉 장착 지원/LED 라이트/RGB FUSION"
GIGABYTE 지포스 RTX 2080 Gaming D6 8GB 화이트,15496,300,PCle3.0x16,1122200,지포스 RTX 2080/12nm/부스트 1830MHz/2944개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/정격파워 650W 이상/전원부: 8+2페이즈/3개 팬/287mm/백플레이트/LED 라이트/RGB FUSION
MSI 라데온 RX 570 아머 OC D5 8GB,6740,150,PCle3.0x16,240700,라데온 RX 570/14nm/1268MHz/2048개/PCIe3.0x16/GDDR5(DDR5)/7000MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 5개/최대 150W/정격파워 450W 이상/2개 팬/246mm
MSI 지포스 GTX1070 Ti 티타늄 D5 8GB 트윈프로져6,12164,180,PCle3.0x16,712200,"지포스 GTX1070 Ti/16nm/1607 MHz,부스트 1683MHz/2432개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/최대 180W/정격파워 500W 이상/전원부: 10페이즈/2개 팬/279mm/백플레이트/LED 라이트"
이엠텍 HV 지포스 RTX 2070 BLACK MONSTER OC D6 8GB,13771,215,PCle3.0x16,777500,지포스 RTX 2070/12nm/2304개/PCIe3.0x16/GDDR6(DDR6)/8GB/256-bit/HDMI/DP/USB Type-C/3개 팬
GIGABYTE 지포스 GTX1050 Ti G1.Gaming D5 4GB,5950,75,PCle3.0x16,233500,"지포스 GTX1050 Ti/14nm/1366 MHz,부스트 1480MHz/768개/PCIe3.0x16/GDDR5(DDR5)/7008MHz/4GB/128-bit/DVI/HDMI/DP/최대 모니터 4개/정격파워 300W 이상/전원부: 5페이즈/2개 팬/219mm"
GIGABYTE 라데온 RX 580 Gaming D5 4GB,5019,185,PCle3.0x16,290500,"라데온 RX 580/14nm/1340 MHz,부스트 1355MHz/2304개/PCIe3.0x16/GDDR5(DDR5)/7000MHz/4GB/256-bit/DVI/HDMI/DP/최대 모니터 5개/정격파워 500W 이상/전원부: 8페이즈/2개 팬/232mm/백플레이트/LED 라이트/RGB FUSION"
이엠텍 HV 지포스 GTX1060 WHITE MONSTER D5 6GB,9011,120,PCle3.0x16,360000,"지포스 GTX1060/16nm/1506 MHz, 부스트 1708MHz/1280개/PCIe3.0x16/GDDR5(DDR5)/8000MHz/6GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 120W/정격파워 400W 이상/전원부: 4페이즈/2개 팬/248mm/백플레이트/LED 라이트"
GIGABYTE 지포스 GTX1080 Ti AORUS Xtreme D5X 11GB 워터블럭,14102,270,PCle3.0x16,1405000,"지포스 GTX1080 Ti/16nm/1607 MHz,부스트 1721MHz/3584개/PCIe3.0x16/GDDR5X(DDR5X)/11232MHz/11GB/352-bit/DVI/HDMI/DP/최대 모니터 4개/정격파워 600W 이상/전원부: 14페이즈/267mm/백플레이트/수냉 장착 지원/LED 라이트/RGB FUSION"
갤럭시 GALAX 지포스 GTX1070 개간지 EXOC D5 8GB Black Edition,11209,150,PCle3.0x16,521700,"지포스 GTX1070/16nm/1594 MHz, 부스트 1784MHz/1920개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/최대 150W/정격파워 500W 이상/전원부: 7페이즈/2개 팬/296mm/백플레이트/LED 라이트"
ZOTAC AMP BOX Mini 지포스 GTX1060 D5 6GB 백플레이트,9011,120,PCle3.0x16,691890,"외장그래픽/지포스 GTX1060/16nm/1556 MHz,부스트 1771MHz/1280개/PCIe3.0x16/GDDR5(DDR5)/8000MHz/6GB/192-bit/DVI/DP/썬더볼트3/USB 3.0/최대 120W/전원부: 5페이즈/2개 팬/210mm"
MSI 지포스 GTX1070 게이밍 X D5 8GB 트윈프로져6,11209,150,PCle3.0x16,718000,"지포스 GTX1070/16nm/1607 MHz,부스트 1797MHz/1920개/PCIe3.0x16/GDDR5(DDR5)/8108MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/최대 150W/정격파워 500W 이상/전원부: 10페이즈/2개 팬/279mm/백플레이트/LED 라이트/MYSTIC LIGHT"
이엠텍 HV 지포스 GTX1060 WHITE MONSTER D5 3GB,8931,120,PCle3.0x16,259900,"지포스 GTX1060/16nm/1506 MHz, 부스트1708MHz/1152개/PCIe3.0x16/GDDR5(DDR5)/8000MHz/3GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 120W/정격파워 400W 이상/전원부: 4페이즈/2개 팬/248mm/백플레이트/LED 라이트"
MSI 지포스 GTX1050 OC D5 2GB 윈드스톰,4612,75,PCle3.0x16,144000,"지포스 GTX1050/14nm/1404 MHz,부스트 1518MHz/640개/PCIe3.0x16/GDDR5(DDR5)/7000MHz/2GB/128-bit/DVI/HDMI/DP/최대 모니터 3개/최대 75W/정격파워 300W 이상/2개 팬/215mm"
갤럭시 GALAX 지포스 GTX1080 EXOC D5X 8GB G美,12328,180,PCle3.0x16,846990,"지포스 GTX1080/16nm/1657 MHz,부스트 1797MHz/2560개/PCIe3.0x16/GDDR5X(DDR5X)/10010MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/최대 180W/정격파워 500W 이상/전원부: 8페이즈/2개 팬/282mm/LED 라이트"
MSI 지포스 GTX1060 아머 OC D5 6GB,8931,140,PCle3.0x16,253900,"지포스 GTX1060/16nm/1531 MHz,부스트 1746MHz/1152개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/3GB/192-bit/DVI/HDMI/DP/최대 모니터 4개/최대 140W/정격파워 400W 이상/전원부: 4페이즈/1개 팬/170mm"
이엠텍 XENON 지포스 GTX1080 STORM X Dual OC D5X 8GB,12328,180,PCle3.0x16,806000,"지포스 GTX1080/16nm/1620 MHz, 부스트 1759MHz/2560개/PCIe3.0x16/GDDR5X(DDR5X)/10000MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/최대 180W/정격파워 500W 이상/전원부: 6페이즈/2개 팬/252mm"
GIGABYTE 지포스 RTX 2080 UDV 터보포스 OC D6 8GB,15496,300,PCle3.0x16,1101800,지포스 RTX 2080/12nm/1785MHz/2944개/PCIe3.0x16/GDDR6(DDR6)/14000MHz/8GB/256-bit/HDMI/DP/USB Type-C/최대 모니터 4개/정격파워 650W 이상/전원부: 8+2페이즈/1개 팬/272mm
GIGABYTE 라데온 RX 570 AORUS D5 4GB,6740,150,PCle3.0x16,280000,"라데온 RX 570/14nm/1280 MHz,부스트 1295MHz/2048개/PCIe3.0x16/GDDR5(DDR5)/7000MHz/4GB/256-bit/DVI/HDMI/DP/최대 모니터 5개/정격파워 450W 이상/전원부: 7페이즈/2개 팬/232mm/백플레이트/LED 라이트/RGB FUSION"
GIGABYTE 지포스 GTX1050 UD2 D5 3GB Nano LP,4612,75,PCle3.0x16,169700,"지포스 GTX1050/14nm/1404 MHz, 부스트 1544MHz/768개/PCIe3.0x16/GDDR5(DDR5)/7008MHz/3GB/96-bit/DVI/HDMI/DP/최대 모니터 4개/정격파워 300W 이상/전원부: 4페이즈/1개 팬/167mm"
ZOTAC AMP EXTREME CORE 지포스 GTX1080 Ti D5X 11GB,14102,320,PCle3.0x16,1650000,"지포스 GTX1080 Ti/16nm/1607 MHz,부스트 1721MHz/3584개/PCIe3.0x16/GDDR5X(DDR5X)/11200MHz/11GB/352-bit/DVI/HDMI/DP/최대 모니터 4개/최대 320W/정격파워 600W 이상/전원부: 18페이즈/3개 팬/325mm/백플레이트/LED 라이트/SPECTRA"
GIGABYTE 지포스 GTX1070 Ti Gaming D5 8GB,12164,180,PCle3.0x16,796800,"지포스 GTX1070 Ti/16nm/1607 MHz,부스트 1683MHz/2432개/PCIe3.0x16/GDDR5(DDR5)/8008MHz/8GB/256-bit/DVI/HDMI/DP/최대 모니터 4개/정격파워 500W 이상/전원부: 8페이즈/3개 팬/280mm/백플레이트/LED 라이트/RGB FUSION"
