i7-8700,1151v2,65,432400,15150,2628,1158,인텔(소켓1151v2)/14nm/헥사(6)코어/쓰레드 12개/3.20GHz/12MB/64비트/65W/인텔 UHD 630/350MHz/하이퍼스레딩/옵테인
i7-8700(벌크),1151v2,65,437800,15150,2628,1158,인텔(소켓1151v2)/14nm/헥사(6)코어/쓰레드 12개/3.20GHz/12MB/64비트/65W/인텔 UHD 630/350MHz/하이퍼스레딩/옵테인
i7-8700k,1151v2,95,412700,15967,2704,1158,인텔(소켓1151v2)/14nm/헥사(6)코어/쓰레드 12개/3.70GHz/12MB/64비트/95W/인텔 UHD 630/350MHz/하이퍼스레딩/옵테인
i7-8700k(벌크),1151v2,95,362500,15967,2704,1158,인텔(소켓1151v2)/14nm/헥사(6)코어/쓰레드 12개/3.70GHz/12MB/64비트/95W/인텔 UHD 630/350MHz/하이퍼스레딩/옵테인
i5-8500,1151v2,65,280400,11885,2399,1158,인텔(소켓1151v2)/14nm/헥사(6)코어/쓰레드 6개/3.0GHz/9MB/64비트/65W/인텔 UHD 630/350MHz/옵테인
i5-8500(벌크),1151v2,65,242500,11885,2399,1158,인텔(소켓1151v2)/14nm/헥사(6)코어/쓰레드 6개/3.0GHz/9MB/64비트/65W/인텔 UHD 630/350MHz/옵테인
i3-8100,1151v2,65,162400,8094,2102,1158,인텔(소켓1151v2)/14nm/쿼드(4)코어/쓰레드 4개/3.60GHz/6MB/64비트/65W/인텔 UHD 630/350MHz/옵테인
i3-8100(벌크),1151v2,65,133000,8094,2102,1158,인텔(소켓1151v2)/14nm/쿼드(4)코어/쓰레드 4개/3.60GHz/6MB/64비트/65W/인텔 UHD 630/350MHz/옵테인
i5-8400,1151v2,65,269800,11682,2344,1158,인텔(소켓1151v2)/14nm/헥사(6)코어/쓰레드 6개/2.80GHz/9MB/64비트/65W/인텔 UHD 630/350MHz/옵테인
i5-8400(벌크),1151v2,65,239500,11682,2344,1158,인텔(소켓1151v2)/14nm/헥사(6)코어/쓰레드 6개/2.80GHz/9MB/64비트/65W/인텔 UHD 630/350MHz/옵테인
G5400,1151v2,54,87400,5236,2204,755,인텔(소켓1151v2)/14nm/듀얼(2)코어/쓰레드 4개/3.7GHz/4MB/64비트/54W/인텔 UHD 610/350MHz/하이퍼스레딩
G5400(벌크),1151v2,54,78900,5236,2204,755,인텔(소켓1151v2)/14nm/듀얼(2)코어/쓰레드 4개/3.7GHz/4MB/64비트/54W/인텔 UHD 610/350MHz/하이퍼스레딩
i5-8600,1151v2,65,314000,12583,2519,1158,인텔(소켓1151v2)/14nm/헥사(6)코어/쓰레드 6개/3.1GHz/9MB/64비트/65W/인텔 UHD 630/350MHz/옵테인
i5-8600(벌크),1151v2,65,276100,12583,2519,1158,인텔(소켓1151v2)/14nm/헥사(6)코어/쓰레드 6개/3.1GHz/9MB/64비트/65W/인텔 UHD 630/350MHz/옵테인
i7-8086k,1151v2,95,509700,16827,2850,1158,인텔(소켓1151v2)/14nm/헥사(6)코어/쓰레드 12개/4.0GHz/12MB/64비트/95W/인텔 UHD 630/350MHz/하이퍼스레딩/옵테인
i5-8600k,1151v2,95,316800,12792,2519,1158,인텔(소켓1151v2)/14nm/헥사(6)코어/쓰레드 6개/3.60GHz/9MB/64비트/95W/인텔 UHD 630/350MHz/옵테인
i5-8600k(벌크),1151v2,95,297800,12792,2519,1158,인텔(소켓1151v2)/14nm/헥사(6)코어/쓰레드 6개/3.60GHz/9MB/64비트/95W/인텔 UHD 630/350MHz/옵테인
G4900,1151v2,54,85660,3217,1790,755,인텔(소켓1151v2)/14nm/듀얼(2)코어/쓰레드 2개/3.1GHz/2MB/64비트/54W/인텔 UHD 610/350MHz
G4900(벌크),1151v2,54,55000,3217,1790,755,인텔(소켓1151v2)/14nm/듀얼(2)코어/쓰레드 2개/3.1GHz/2MB/64비트/54W/인텔 UHD 610/350MHz
G5500,1151v2,54,108000,5194,2186,755,인텔(소켓1151v2)/14nm/듀얼(2)코어/쓰레드 4개/3.8GHz/4MB/64비트/54W/인텔 UHD 630/350MHz/하이퍼스레딩
G5500(벌크),1151v2,54,94000,5194,2186,755,인텔(소켓1151v2)/14nm/듀얼(2)코어/쓰레드 4개/3.8GHz/4MB/64비트/54W/인텔 UHD 630/350MHz/하이퍼스레딩
i3-8350k,1151v2,91,205900,9250,2341,1158,인텔(소켓1151v2)/14nm/쿼드(4)코어/쓰레드 4개/4.00GHz/8MB/64비트/91W/인텔 UHD 630/350MHz/옵테인
i3-8350k(벌크),1151v2,91,203000,9250,2341,1158,인텔(소켓1151v2)/14nm/쿼드(4)코어/쓰레드 4개/4.00GHz/8MB/64비트/91W/인텔 UHD 630/350MHz/옵테인
G5600,1151v2,54,117000,5707,2266,1158,인텔(소켓1151v2)/14nm/듀얼(2)코어/쓰레드 4개/3.9GHz/4MB/64비트/54W/인텔 UHD 630/350MHz/하이퍼스레딩
G5600(벌크),1151v2,54,111240,5707,2266,1158,인텔(소켓1151v2)/14nm/듀얼(2)코어/쓰레드 4개/3.9GHz/4MB/64비트/54W/인텔 UHD 630/350MHz/하이퍼스레딩
i3-8300,1151v2,62,193000,8693,2172,1158,인텔(소켓1151v2)/14nm/쿼드(4)코어/쓰레드 4개/3.70GHz/8MB/64비트/62W/인텔 UHD 630/350MHz/옵테인
G4920,1151v2,54,84100,3318,1816,755,인텔(소켓1151v2)/14nm/듀얼(2)코어/쓰레드 2개/3.2GHz/2MB/64비트/54W/인텔 UHD 610/350MHz
G4920(벌크),1151v2,54,78000,3318,1816,755,인텔(소켓1151v2)/14nm/듀얼(2)코어/쓰레드 2개/3.2GHz/2MB/64비트/54W/인텔 UHD 610/350MHz
i9-9900K,1151v2,95,637600,20207,2902,1158,인텔(소켓1151v2)/14nm/옥타(8)코어/쓰레드 16개/3.60GHz/16MB/64비트/95W/인텔 UHD 630/350MHz/하이퍼스레딩/옵테인
i9-7900X,2066,140,1358910,21995,2468,0,인텔(소켓2066)/14nm/10코어/쓰레드 20개/3.30GHz/13.75MB/64비트/140W/하이퍼스레딩/옵테인
i9-7960X,2066,165,2140000,25675,2335,0,인텔(소켓2066)/14nm/16코어/쓰레드 32개/2.80GHz/22MB/64비트/165W/하이퍼스레딩/옵테인
i9-7940X,2066,165,1443100,25499,2412,0,인텔(소켓2066)/14nm/14코어/쓰레드 28개/3.10GHz/19.25MB/64비트/165W/하이퍼스레딩/옵테인
i7-7820X,2066,140,710000,18550,2411,0,인텔(소켓2066)/14nm/옥타(8)코어/쓰레드 16개/3.60GHz/11MB/64비트/140W/하이퍼스레딩/옵테인
i7-7820X(벌크),2066,140,620000,18550,2411,0,인텔(소켓2066)/14nm/옥타(8)코어/쓰레드 16개/3.60GHz/11MB/64비트/140W/하이퍼스레딩/옵테인
i9-7920X,2066,140,1363650,23258,2402,0,인텔(소켓2066)/14nm/12코어/쓰레드 24개/2.90GHz/16.5MB/64비트/140W/하이퍼스레딩/옵테인
i7-7800X,2066,140,390900,14532,2252,0,인텔(소켓2066)/14nm/헥사(6)코어/쓰레드 12개/3.50GHz/8.25MB/64비트/140W/하이퍼스레딩/옵테인
i7-7800X(벌크),2066,140,367630,14532,2252,0,인텔(소켓2066)/14nm/헥사(6)코어/쓰레드 12개/3.50GHz/8.25MB/64비트/140W/하이퍼스레딩/옵테인
i5-7640X,2066,112,166400,9585,2470,0,인텔(소켓2066)/14nm/쿼드(4)코어/쓰레드 4개/4.00GHz/6MB/64비트/112W/옵테인
i7-7740X,2066,112,443610,12248,2622,0,인텔(소켓2066)/14nm/쿼드(4)코어/쓰레드 8개/4.30GHz/8MB/64비트/112W/하이퍼스레딩/옵테인
i7-6800K,2011-V3,140,1023000,13591,2064,0,인텔(소켓2011-V3)/14nm/헥사(6) 코어/쓰레드 12개/3.4GHz/256KB x6/15MB/64비트/140W/하이퍼스레딩
i7-6800K(벌크),2011-V3,140,602070,13591,2064,0,인텔(소켓2011-V3)/14nm/헥사(6) 코어/쓰레드 12개/3.4GHz/256KB x6/15MB/64비트/140W/하이퍼스레딩
라이젠5 2600,AM4,65,121100,13524,2008,0,AMD(소켓AM4)/12nm/64비트/헥사(6) 코어/쓰레드 12개/3.4GHz/65W/3MB/16MB/Unlocked/XFR/SENSEMI/SMT/Wraith Stealth 쿨러 포함
라이젠7 2700,AM4,65,281900,15046,2010,0,AMD(소켓AM4)/12nm/64비트/옥타(8) 코어/쓰레드 16개/3.2GHz/65W/4MB/16MB/Unlocked/XFR/SENSEMI/SMT/Wraith Spire (LED) 쿨러 포함
라이젠7 2700X,AM4,105,348500,16969,2191,0,AMD(소켓AM4)/12nm/64비트/옥타(8) 코어/쓰레드 16개/3.7GHz/105W/4MB/16MB/Unlocked/XFR/SENSEMI/SMT/Wraith Prism 쿨러 포함
라이젠3 2200G,AM4,65,79200,7428,1853,0,AMD(소켓AM4)/14nm/64비트/쿼드(4)코어/쓰레드 4개/3.5GHz/65W/2MB/4MB/AMD 라데온 Vega 8/1100MHz/XFR/SENSEMI/Wraith STEALTH 쿨러 포함
라이젠5 2600X,AM4,95,237700,14346,2139,0,AMD(소켓AM4)/12nm/64비트/헥사(6) 코어/쓰레드 12개/3.6GHz/95W/3MB/16MB/Unlocked/XFR/SENSEMI/SMT/Wraith Spire 쿨러 포함
라이젠5 2400G,AM4,65,147400,9291,1931,0,AMD(소켓AM4)/14nm/64비트/쿼드(4)코어/쓰레드 8개/3.6GHz/65W/2MB/4MB/AMD 라데온 Vega 11/1250MHz/XFR/SENSEMI/SMT/Wraith STEALTH 쿨러 포함
라이젠7 1700,AM4,65,226900,13750,1775,0,AMD(소켓AM4)/14nm/64비트/옥타(8) 코어/쓰레드 16개/3.0GHz/65W/4MB/16MB/XFR/SENSEMI/SMT/Wraith SPIRE 쿨러 포함
라이젠5 1500X,AM4,65,127600,10069,1852,0,AMD(소켓AM4)/14nm/64비트/쿼드(4)코어/쓰레드 8개/3.5GHz/65W/2MB/16MB/XFR/SENSEMI/SMT/Wraith SPIRE 쿨러 포함
라이젠5 1600,AM4,65,157800,12265,1822,0,AMD(소켓AM4)/14nm/64비트/헥사(6) 코어/쓰레드 12개/3.2GHz/65W/3MB/16MB/XFR/SENSEMI/SMT/Wraith SPIRE 쿨러 포함
라이젠 2950X,TR4,180,1112000,25917,2232,0,AMD(소켓TR4)/12nm/64비트/16코어/쓰레드 32개/3.5GHz/180W/8MB/32MB/Unlocked/XFR/SENSEMI/SMT/정품: 쿨러 미포함/쿼드 채널 ECC 메모리 지원
라이젠 2990WX,TR4,250,2084000,24003,2133,0,AMD(소켓TR4)/12nm/64비트/32코어/쓰레드 64개/3.0GHz/250W/16MB/64MB/Unlocked/XFR/SENSEMI/SMT/정품: 쿨러 미포함/쿼드 채널 ECC 메모리 지원
애슬론 200GE,AM4,35,65500,4931,1593,0,"AMD(소켓AM4)/14nm/64비트/듀얼(2)코어/쓰레드 4개/3.2GHz/35W/1MB/4MB/AMD 라데온 Vega 3/1,000MHz"
라이젠 1900X,TR4,180,371200,15850,2046,0,AMD(소켓TR4)/14nm/64비트/옥타(8)코어/쓰레드 16개/3.8GHz/180W/4MB/16MB/XFR/SENSEMI/SMT/정품: 쿨러 미포함
라이젠5 1600X,AM4,95,215000,13227,1976,0,AMD(소켓AM4)/14nm/64비트/헥사(6) 코어/쓰레드 12개/3.6GHz/95W/3MB/16MB/XFR/SENSEMI/SMT/정품: 쿨러 미포함/멀티팩: Wraith MAX 쿨러 포함
라이젠 1950X,TR4,180,880000,22120,2000,0,AMD(소켓TR4)/14nm/64비트/16코어/쓰레드 32개/3.4GHz/180W/32MB/XFR/SENSEMI/SMT/정품: 쿨러 미포함
라이젠7 1800X,AM4,95,429900,15401,1967,0,AMD(소켓AM4)/14nm/64비트/옥타(8) 코어/쓰레드 16개/3.6GHz/95W/4MB/16MB/XFR/SENSEMI/SMT/정품: 쿨러 미포함/멀티팩: Wraith MAX 쿨러 포함
라이젠3 1200,AM4,65,95000,6759,1719,0,AMD(소켓AM4)/64비트/쿼드(4)코어/쓰레드 4개/3.1GHz/65W/2MB/8MB/XFR/SENSEMI/Wraith STEALTH 쿨러 포함
라이젠5 1400,AM4,65,113100,8396,1722,0,AMD(소켓AM4)/14nm/64비트/쿼드(4)코어/쓰레드 8개/3.2GHz/65W/2MB/8MB/XFR/SENSEMI/SMT/Wraith STEALTH 쿨러 포함
라이젠7 1700X,AM4,95,335900,14640,1881,0,AMD(소켓AM4)/14nm/64비트/옥타(8) 코어/쓰레드 16개/3.4GHz/95W/4MB/16MB/XFR/SENSEMI/SMT/정품: 쿨러 미포함/멀티팩: Wraith MAX 쿨러 포함
라이젠 1920X,TR4,180,850000,18574,2004,0,AMD(소켓TR4)/14nm/64비트/12코어/쓰레드 24개/3.5GHz/180W/6MB/32MB/XFR/SENSEMI/SMT/정품: 쿨러 미포함
라이젠3 1300X,AM4,65,114000,7467,1877,0,AMD(소켓AM4)/64비트/쿼드(4)코어/쓰레드 4개/3.5GHz/65W/2MB/8MB/XFR/SENSEMI/Wraith STEALTH 쿨러 포함
